Date,Open,High,Low,Close,Adj Close,Volume
2018-06-20,9117.280273,9273.900391,8989.870117,9177.169922,9177.169922,1702005
2018-06-21,9177.169922,9249.000000,8035.810059,8210.459961,8210.459961,3225993
2018-06-22,8210.459961,8689.589844,7856.279785,8626.759766,8626.759766,1328323
2018-06-23,8626.759766,8675.370117,7892.180176,8628.139648,8628.139648,2492711
2018-06-24,8628.139648,9082.339844,8347.139648,8677.219727,8677.219727,1968693
2018-06-25,8677.219727,9134.040039,8297.759766,8364.320313,8364.320313,1808917
2018-06-26,8364.320313,8958.519531,8205.959961,8357.820313,8357.820313,2210450
2018-06-27,8353.370117,9002.620117,7928.939941,7942.339844,7942.339844,1656899
2018-06-28,7942.339844,8562.650391,7664.729980,8189.589844,8189.589844,3316783
2018-06-29,8189.589844,8558.620117,8036.419922,8461.830078,8461.830078,3053417
2018-06-30,8461.830078,8524.349609,8071.620117,8403.320313,8403.320313,1016006
2018-07-01,8403.320313,8898.469727,8061.410156,8879.650391,8879.650391,3917316
2018-07-02,8879.650391,8899.320313,8545.820313,8691.830078,8691.830078,3162699
2018-07-03,8691.400391,8962.889648,8290.019531,8679.860352,8679.860352,2228844
2018-07-04,8679.860352,8939.080078,8394.089844,8712.910156,8712.910156,1792162
2018-07-05,8712.910156,8847.320313,7936.910156,8656.179688,8656.179688,1441472
2018-07-06,8656.179688,8979.440430,8160.040039,8979.440430,8979.440430,4165390
2018-07-07,8979.440430,9097.179688,8838.320313,8947.549805,8947.549805,1377427
2018-07-08,8947.549805,9049.009766,8815.700195,8870.580078,8870.580078,1072594
2018-07-09,8870.580078,8997.639648,8386.809570,8571.129883,8571.129883,2441856
2018-07-10,8571.129883,9003.469727,8289.450195,8633.099609,8633.099609,3181352
2018-07-11,8633.099609,8829.740234,8224.860352,8350.099609,8350.099609,2598313
2018-07-12,8350.099609,8950.559570,8350.099609,8534.429688,8534.429688,1884174
2018-07-13,8534.429688,8986.650391,8269.330078,8512.559570,8512.559570,947802
2018-07-14,8512.559570,9173.690430,8463.280273,8604.080078,8604.080078,955833
2018-07-15,8604.080078,9243.280273,8397.980469,8897.650391,8897.650391,2709286
2018-07-16,8896.879883,9976.570313,8805.509766,9857.750000,9857.750000,8314476
2018-07-17,9857.750000,10136.849609,9818.919922,9907.169922,9907.169922,7656033
2018-07-18,9907.169922,10438.450195,9638.559570,10019.360352,10019.360352,3703845
2018-07-19,10019.360352,10543.040039,9838.309570,9983.500000,9983.500000,6892089
2018-07-20,9983.500000,10217.669922,9817.269531,10016.820313,10016.820313,2493980
2018-07-21,10016.820313,10148.849609,9874.089844,9924.129883,9924.129883,2746431
2018-07-22,9924.129883,10399.450195,9698.870117,10353.830078,10353.830078,4110419
2018-07-23,10353.830078,11296.860352,10249.889648,11292.990234,11292.990234,6582524
2018-07-24,11292.990234,11434.839844,10752.929688,10915.849609,10915.849609,5984852
2018-07-25,10915.849609,11080.240234,10348.440430,10524.139648,10524.139648,3232064
2018-07-26,10526.639648,11136.009766,10371.910156,10882.820313,10882.820313,1921405
2018-07-27,10882.820313,11393.330078,10495.269531,10860.990234,10860.990234,1498817
2018-07-28,10860.990234,11441.519531,10821.040039,10965.559570,10965.559570,2319639
2018-07-29,10965.559570,11149.509766,10557.900391,10967.240234,10967.240234,3628829
2018-07-30,10968.009766,11140.759766,10315.389648,10416.559570,10416.559570,3844344
2018-07-31,10416.559570,10447.549805,9963.280273,10159.769531,10159.769531,4898611
2018-08-01,10159.769531,10809.589844,9977.790039,10180.129883,10180.129883,2027671
2018-08-02,10187.089844,10407.219727,9781.129883,9963.610352,9963.610352,2501389
2018-08-03,9963.610352,10465.769531,9260.629883,9439.150391,9439.150391,1969355
2018-08-04,9439.150391,9963.519531,9226.740234,9547.610352,9547.610352,1749143
2018-08-05,9564.129883,9889.820313,9210.870117,9448.120117,9448.120117,2358841
2018-08-06,9448.120117,9811.150391,9172.719727,9303.219727,9303.219727,5174780
2018-08-07,9303.219727,9743.849609,8513.660156,8813.169922,8813.169922,3481705
2018-08-08,8810.620117,9192.870117,8653.750000,9058.400391,9058.400391,2887157
2018-08-09,9058.400391,9189.360352,8596.250000,8647.549805,8647.549805,3470876
2018-08-10,8647.549805,8953.339844,8358.570313,8511.519531,8511.519531,5405155
2018-08-11,8511.519531,9028.610352,8452.339844,8737.580078,8737.580078,1958849
2018-08-12,8737.580078,9264.959961,8560.469727,8682.740234,8682.740234,2448405
2018-08-13,8682.740234,8777.900391,8174.020020,8523.610352,8523.610352,3338116
2018-08-14,8523.610352,9016.870117,8425.349609,8590.030273,8590.030273,2699522
2018-08-15,8590.030273,9198.540039,8504.740234,8773.129883,8773.129883,2989936
2018-08-16,8773.129883,9007.940430,8652.540039,8851.750000,8851.750000,2898694
2018-08-17,8845.110352,9264.440430,8417.019531,8771.900391,8771.900391,2120736
2018-08-18,8771.900391,9194.889648,8530.179688,8886.969727,8886.969727,1251591
2018-08-19,8886.969727,9265.900391,8616.839844,8685.589844,8685.589844,2974402
2018-08-20,8685.690430,9165.139648,8495.669922,8799.259766,8799.259766,1856678
2018-08-21,8799.259766,9520.099609,8634.309570,8782.870117,8782.870117,6486165
2018-08-22,8782.870117,9136.299805,8638.879883,8975.580078,8975.580078,1930224
2018-08-23,8975.580078,9356.040039,8598.389648,9100.330078,9100.330078,2988754
2018-08-24,9191.820313,9546.280273,8959.759766,9170.780273,9170.780273,1577879
2018-08-25,9170.780273,9497.110352,8776.080078,9075.459961,9075.459961,1801569
2018-08-26,9075.459961,9572.099609,9052.530273,9428.190430,9428.190430,3295254
2018-08-27,9427.669922,9734.719727,9295.349609,9587.179688,9587.179688,2062358
2018-08-28,9587.179688,9982.150391,9390.040039,9473.429688,9473.429688,3000743
2018-08-29,9473.429688,9838.969727,9226.719727,9421.070313,9421.070313,2682697
2018-08-30,9421.070313,9871.080078,9355.690430,9554.650391,9554.650391,2123919
2018-08-31,9542.179688,10010.709961,9349.320313,9722.910156,9722.910156,1421194
2018-09-01,9738.440430,9982.580078,9566.190430,9929.940430,9929.940430,2085236
2018-09-02,9929.940430,10284.740234,9700.440430,9841.320313,9841.320313,2102455
2018-09-03,9841.320313,10386.009766,9742.309570,10045.950195,10045.950195,3039771
2018-09-04,10045.950195,10481.429688,9239.639648,9306.730469,9306.730469,5678563
2018-09-05,9319.339844,9319.339844,8613.910156,9109.379883,9109.379883,4005472
2018-09-06,9109.379883,9550.879883,8649.269531,8952.019531,8952.019531,4012874
2018-09-07,8952.019531,9280.889648,8606.639648,8754.540039,8754.540039,2404314
2018-09-08,8754.339844,9199.000000,8321.580078,9002.429688,9002.429688,1647877
2018-09-09,9002.429688,9125.129883,8541.490234,8880.379883,8880.379883,2558295
2018-09-10,8880.379883,9109.110352,8695.629883,8769.969727,8769.969727,2211131
2018-09-11,8769.969727,8903.879883,8466.139648,8903.879883,8903.879883,2218553
2018-09-12,8903.879883,9148.339844,8404.919922,8877.610352,8877.610352,2839351
2018-09-13,8876.299805,9214.519531,8736.889648,8938.469727,8938.469727,3380626
2018-09-14,8938.469727,9234.009766,8804.219727,9033.360352,9033.360352,1730012
2018-09-15,9033.360352,9222.599609,8476.059570,8990.429688,8990.429688,1292974
2018-09-16,8990.429688,9207.049805,8588.500000,8654.759766,8654.759766,3179490
2018-09-17,8654.250000,8937.629883,8260.990234,8567.790039,8567.790039,2381497
2018-09-18,8573.370117,8978.580078,8211.330078,8809.599609,8809.599609,2868644
2018-09-19,8809.599609,9035.969727,8380.389648,8790.839844,8790.839844,2027262
2018-09-20,8790.839844,9435.330078,8643.730469,9259.910156,9259.910156,3046917
2018-09-21,9259.910156,9403.780273,8609.019531,9199.679688,9199.679688,1254577
2018-09-22,9199.679688,9343.370117,8667.530273,9256.230469,9256.230469,2741214
2018-09-23,9256.230469,9288.410156,8939.339844,8975.009766,8975.009766,1816880
2018-09-24,8975.009766,9067.570313,8318.269531,8828.580078,8828.580078,2256524
2018-09-25,8828.580078,9087.690430,8391.320313,8930.150391,8930.150391,3090795
2018-09-26,8930.150391,9268.629883,8421.320313,9119.429688,9119.429688,2711654
2018-09-27,9119.429688,9301.190430,8750.759766,8982.400391,8982.400391,3931080
2018-09-28,8982.400391,9172.400391,8513.990234,8939.019531,8939.019531,1047287
2018-09-29,8939.019531,9251.389648,8560.839844,8937.259766,8937.259766,2490233
